Idea,last_completed, last_shown
Take a long walk and talk about anything,
Cook a simple meal together,
Sit outside and watch the sky,
Play a board or card game,
Do a 10-minute meditation together,
Read a book to each other,
Dance in your living room,
Share your childhood stories,
Plan your next travel dream,
Make a gratitude list together,
Sit silently and just hold hands,
Watch the sunrise or sunset,
Make each other tea or coffee,
Paint or sketch together,
Look at old photo albums,
Try a DIY skincare/pamper ritual,
Rearrange or clean one corner of the house,
Make a playlist together (offline),
Share 5 things you love about each other,
Visit a peaceful place,
Make each other a small handwritten note,
Plant something together,
Go for a long drive with just music,
Make a small garden picnic,
Give each other a shoulder massage
Try a new dessert recipe together,
Dream about your future home/life together,
Book a room in your own city for a night, no plans,
Try something neither of you knows how to do,
Write: "If we ever break up, remember this:"
Choose outfits for each other at a thrift store,
Write each other "10 reasons I'm with you,"
Get intentionally lost in your city, no maps,
Sit in complete darkness for 15 minutes holding each other,
Read each other a passage from a book that changed you,
Swap diaries for a full day,
Record voice messages for each other to open in the future,
One cooks blindfolded, the other guides,
Pick books for each other at a bookstore, no explanations,
Stare into each other's eyes for 4 minutes, no talking,
Buy each other something under $5 that represents them
Swap hobbies for a day,
Write letters to your future child,
Take a random train/bus to the last stop,
Draw each other without looking at the paper,